10102,234
10104,159
10106,176
10110,325
14910,212
14911,351
14980,290
14981,122
14987,246
15008,165
15023,284
15026,216
15044,343
15046,340
15090,260
15143,326
15145,294
15146,226
15147,214
15153,328
17511,314
17585,296
19100,149
19101,227
19102,323
19104,196
19106,328
19108,176
19113,277
19114,329
19166,190
20043,334
20044,338
20045,155
20047,285
20048,329
20050,327
20051,206
20052,285
20057,239
20058,201
20059,300
20062,276
20063,143
21366,286
21367,249
21373,186
21375,135
21379,181
21380,137
21381,190
21383,228
21385,140
21389,267
21393,220
21394,124
21397,140
21402,323
21635,251
21637,217
22338,216
22339,329
22340,341
22578,195
23066,330
23069,165
23073,248
23074,302
23076,291
23077,313
23082,193
23083,203
23084,354
23086,262
23087,269
23089,122
23091,210
23092,255
23093,267
23095,237
23096,124
23097,310
23100,203
23103,218
23104,349
23106,225
23107,193
23109,319
23110,202
23113,199
23114,320
23118,236
23119,292
23120,198
23121,168
23124,196
23125,179
23126,345
23128,282
23129,179
